zipcode,classification_ontime
14464,On time
19126,Delayed
2748,Delayed
25560,Delayed
32751,Delayed
83676,On time
28164,On time
21863,On time
3598,Delayed
27519,Delayed
7064,Delayed
14623,Delayed
35121,Delayed
34235,Delayed
44864,Delayed
33570,Delayed
53066,Delayed
40299,Delayed
29138,On time
89123,Delayed
1108,On time
20715,Delayed
49024,Delayed
55923,On time
61547,On time
30901,On time
14072,Delayed
48348,Delayed
53717,On time
78239,Delayed
18508,On time
77591,On time
33062,Delayed
8872,Delayed
14150,Delayed
21205,On time
11946,On time
12540,On time
44260,On time
58801,Delayed
21050,Delayed
13112,Delayed
39525,On time
35226,Delayed
49855,Delayed
28461,Delayed
23924,Delayed
18966,Delayed
34669,On time
89113,Delayed
15003,On time
85353,On time
18337,Delayed
77461,On time
48140,On time
5478,Delayed
8830,On time
40175,Delayed
71328,On time
37214,Delayed
79022,Delayed
55387,On time
28461,Delayed
19020,Delayed
70548,On time
60410,On time
21252,Delayed
90241,Delayed
27455,Delayed
32566,Delayed
98146,Delayed
48888,On time
29172,On time
75082,Delayed
75206,Delayed
27603,Delayed
53181,On time
95616,Delayed
98376,On time
45103,Delayed
93711,Delayed
60526,On time
89130,Delayed
49841,Delayed
38068,On time
60480,Delayed
23508,Delayed
8049,On time
29209,Delayed
29078,On time
10034,Delayed
20815,Delayed
4970,Delayed
28012,Delayed
85266,Delayed
2649,On time
1226,On time
33426,Delayed
50317,On time
14304,Delayed
10464,On time
78648,On time
48450,On time
98237,On time
49090,On time
56379,Delayed
55045,On time
62707,On time
29805,Delayed
6105,On time
46160,On time
18644,On time
45801,On time
21613,Delayed
23235,Delayed
48195,On time
24149,On time
7086,Delayed
6277,On time
19139,Delayed
43035,Delayed
70131,Delayed
16438,On time
43204,Delayed
75126,Delayed
20115,Delayed
86333,On time
98077,Delayed
38109,On time
46341,On time
53581,On time
23602,Delayed
10710,Delayed
89149,Delayed
90712,Delayed
52001,Delayed
77808,Delayed
78516,On time
62301,Delayed
33014,Delayed
6757,Delayed
85349,On time
75024,Delayed
33772,Delayed
70116,Delayed
15417,Delayed
80102,On time
94505,On time
56425,On time
17048,On time
7869,Delayed
8560,On time
3245,On time
54426,On time
76177,Delayed
75440,On time
27106,Delayed
95758,Delayed
43230,Delayed
72745,Delayed
66212,Delayed
21222,Delayed
85028,Delayed
30322,On time
17740,On time
59041,On time
53574,On time
45315,On time
28557,On time
98337,On time
5445,On time
6519,Delayed
91762,Delayed
72601,On time
53214,Delayed
60914,Delayed
68144,Delayed
78261,On time
33702,Delayed
85139,On time
94621,Delayed
33004,On time
55346,Delayed
20735,Delayed
48040,On time
80132,Delayed
7704,On time
28052,On time
79401,Delayed
56572,On time
25276,On time
45879,On time
78654,On time
87740,On time
97330,Delayed
32653,Delayed
35634,On time
17562,On time
35504,On time
32501,On time
26753,On time
44281,Delayed
73131,On time
78746,Delayed
7738,On time
23970,Delayed
97211,Delayed
19567,Delayed
45810,On time
21201,Delayed
48340,On time
95610,Delayed
33305,Delayed
19032,On time
77433,Delayed
8270,On time
30087,Delayed
49635,On time
80601,Delayed
11788,Delayed
32128,On time
76501,Delayed
13152,Delayed
53559,Delayed
68869,On time
7055,Delayed
13148,On time
7755,On time
3811,Delayed
45805,On time
97210,Delayed
75156,On time
80543,Delayed
7045,Delayed
19939,On time
40515,Delayed
32124,On time
75247,Delayed
47143,On time
46260,Delayed
98112,Delayed
99208,Delayed
17112,Delayed
48084,On time
70002,On time
11735,Delayed
33903,Delayed
19153,On time
11763,Delayed
56001,Delayed
80214,On time
43021,Delayed
77465,On time
90230,Delayed
66025,On time
53158,On time
28806,Delayed
44231,On time
18064,Delayed
8872,Delayed
6277,On time
48808,Delayed
46069,Delayed
95324,On time
60661,Delayed
3060,Delayed
56265,On time
17267,Delayed
74070,On time
7657,Delayed
60651,Delayed
60181,Delayed
31904,Delayed
28612,On time
92880,Delayed
80128,Delayed
48192,On time
84663,Delayed
17340,Delayed
5445,On time
68845,Delayed
97462,On time
70460,On time
63031,Delayed
21901,Delayed
78210,On time
47933,Delayed
28390,On time
33440,Delayed
17315,On time
35473,Delayed
1060,Delayed
28460,Delayed
91403,Delayed
8008,On time
76164,On time
2723,On time
94506,Delayed
76031,On time
77904,Delayed
14085,On time
29307,On time
75559,On time
68632,Delayed
80634,Delayed
53027,Delayed
15206,Delayed
1844,Delayed
60137,Delayed
93041,Delayed
37924,Delayed
30350,Delayed
17555,On time
8551,On time
98383,Delayed
1854,Delayed
32547,On time
76201,Delayed
78729,Delayed
32825,Delayed
55346,On time
17366,On time
97471,Delayed
15024,Delayed
33135,Delayed
22901,Delayed
51445,On time
43617,Delayed
74014,Delayed
34974,Delayed
29801,Delayed
45505,On time
11953,On time
3431,Delayed
20169,Delayed
48439,Delayed
55414,Delayed
33306,On time
52403,Delayed
27018,On time
6110,On time
17042,Delayed
94612,Delayed
27587,Delayed
92120,Delayed
2568,Delayed
53589,On time
94086,Delayed
14559,On time
37722,On time
27954,Delayed
38672,Delayed
1541,On time
10154,Delayed
37403,On time
56093,On time
73160,Delayed
6078,On time
11706,Delayed
8070,On time
80816,Delayed
55070,On time
1827,On time
30290,On time
62263,On time
50548,On time
68506,Delayed
38135,Delayed
11439,Delayed
2780,Delayed
12508,Delayed
33431,Delayed
87532,On time
94941,Delayed
1118,On time
19426,Delayed
11705,Delayed
60953,On time
29588,Delayed
27360,Delayed
43212,Delayed
85346,On time
95926,Delayed
34232,Delayed
95252,Delayed
31793,On time
35976,Delayed
48089,On time
59912,On time
90040,Delayed
87112,Delayed
30076,Delayed
3753,Delayed
3032,On time
44270,On time
46795,On time
7014,Delayed
21737,On time
43718,Delayed
47546,Delayed
42103,On time
70648,On time
44004,Delayed
21045,Delayed
7652,Delayed
90804,Delayed
18925,Delayed
15228,Delayed
73080,On time
65809,Delayed
95215,Delayed
38606,On time
31503,On time
75248,Delayed
73064,Delayed
11952,Delayed
67219,On time
95355,Delayed
94707,Delayed
11542,Delayed
30427,On time
77861,On time
61821,Delayed
37331,On time
7865,On time
68138,Delayed
20716,Delayed
28110,Delayed
45242,Delayed
29032,Delayed
12572,On time
72076,On time
8857,Delayed
55316,Delayed
1841,Delayed
2421,Delayed
18644,On time
62946,On time
28546,Delayed
2171,Delayed
21502,Delayed
27504,Delayed
33875,On time
76692,On time
95391,Delayed
66219,On time
83333,Delayed
81147,Delayed
46168,Delayed
10467,Delayed
38004,Delayed
2825,On time
95864,Delayed
78221,Delayed
17113,On time
20634,On time
78380,On time
86413,On time
52001,Delayed
48167,Delayed
14905,On time
76201,Delayed
92870,Delayed
23113,Delayed
17046,Delayed
91978,On time
3046,On time
35673,On time
89128,Delayed
92624,On time
30310,On time
6039,On time
29102,On time
32778,On time
1545,Delayed
38011,On time
34759,Delayed
70583,On time
54487,On time
47170,Delayed
63385,Delayed
28411,Delayed
92508,Delayed
30110,On time
44714,On time
18641,On time
32686,Delayed
97882,Delayed
28675,On time
37886,On time
32328,On time
98272,Delayed
89110,Delayed
46322,Delayed
74955,On time
65706,On time
72113,Delayed
56085,Delayed
6110,Delayed
84081,On time
5777,On time
92583,On time
30273,On time
97103,Delayed
1010,On time
31015,On time
80461,Delayed
54229,On time
95354,On time
14840,On time
4062,Delayed
73150,On time
2908,Delayed
5661,On time
70526,On time
60468,On time
78723,Delayed
90710,Delayed
32024,On time
8232,Delayed
6092,On time
72201,Delayed
90670,Delayed
17540,On time
95815,Delayed
21704,Delayed
49201,Delayed
23517,On time
61821,Delayed
1821,Delayed
55071,On time
60619,Delayed
60545,On time
55902,Delayed
46320,On time
21154,On time
2050,Delayed
53719,Delayed
24228,On time
94132,Delayed
24175,On time
10524,On time
8857,Delayed
70121,Delayed
48065,Delayed
30087,Delayed
29135,On time
48051,Delayed
32082,Delayed
95824,On time
55441,Delayed
47060,On time
67063,On time
33868,On time
61032,Delayed
6518,On time
32502,On time
79922,On time
73080,On time
8010,On time
94306,Delayed
66547,On time
47586,Delayed
21215,Delayed
28167,Delayed
11771,On time
47303,On time
20004,On time
44875,On time
85212,Delayed
57532,On time
8083,On time
23417,On time
72022,On time
37042,Delayed
76442,Delayed
37066,Delayed
34461,On time
47630,Delayed
27104,Delayed
56093,On time
13045,Delayed
2718,On time
36804,On time
17821,Delayed
55376,Delayed
25545,On time
7069,Delayed
23234,Delayed
52537,Delayed
93930,Delayed
57049,On time
30215,Delayed
72019,Delayed
13501,Delayed
24012,Delayed
79336,On time
78723,Delayed
3873,On time
44070,Delayed
1970,Delayed
15022,Delayed
78723,Delayed
2667,On time
75409,Delayed
92612,Delayed
76103,Delayed
64055,Delayed
29669,On time
61610,On time
33905,Delayed
19018,Delayed
30011,Delayed
29407,Delayed
90814,Delayed
47167,On time
1060,Delayed
78015,Delayed
39301,Delayed
93111,Delayed
92154,Delayed
85226,Delayed
20770,Delayed
46573,On time
16335,Delayed
92841,Delayed
46260,Delayed
2814,On time
43223,Delayed
8005,On time
46385,Delayed
34211,Delayed
48357,Delayed
92371,Delayed
22939,Delayed
80922,On time
92276,On time
29059,Delayed
20904,Delayed
59427,Delayed
30642,On time
2151,Delayed
34744,Delayed
92092,On time
92662,On time
11236,Delayed
77044,Delayed
37341,On time
14301,On time
91606,Delayed
53202,On time
90094,Delayed
98310,Delayed
11697,On time
10965,Delayed
63376,Delayed
85023,Delayed
83815,On time
16046,Delayed
25414,Delayed
44145,Delayed
37115,Delayed
67156,On time
21218,Delayed
65737,Delayed
21085,On time
46151,Delayed
40242,Delayed
19123,On time
33614,Delayed
80227,On time
7830,On time
45233,Delayed
48462,On time
33134,Delayed
53713,Delayed
98208,Delayed
62025,Delayed
28721,On time
90211,Delayed
22443,On time
50322,Delayed
17547,On time
48461,On time
24134,On time
34275,Delayed
8036,On time
16063,On time
36695,Delayed
44126,On time
79601,Delayed
71270,Delayed
90262,Delayed
35115,On time
50525,On time
75249,On time
77619,Delayed
11733,Delayed
83686,Delayed
3031,Delayed
49306,Delayed
67226,Delayed
14870,On time
95454,On time
71857,On time
27615,Delayed
70809,Delayed
95033,Delayed
30309,Delayed
11436,Delayed
49712,On time
63045,On time
33142,Delayed
20794,Delayed
22182,Delayed
2702,Delayed
95355,Delayed
37075,Delayed
54742,Delayed
90240,On time
85234,Delayed
99163,Delayed
80615,On time
94002,Delayed
21205,Delayed
94089,Delayed
34773,On time
95391,On time
10987,On time
79121,Delayed
7050,Delayed
7852,On time
32608,Delayed
33914,Delayed
48084,Delayed
15025,On time
81507,Delayed
92234,Delayed
66218,On time
40207,Delayed
49010,Delayed
67213,On time
93307,Delayed
60621,Delayed
35613,On time
7733,Delayed
32832,Delayed
55041,On time
46072,On time
4276,Delayed
6492,Delayed
8050,Delayed
32812,Delayed
3858,Delayed
43054,Delayed
19947,Delayed
28590,On time
67420,On time
61114,On time
4349,Delayed
98014,Delayed
24801,On time
73446,On time
71303,Delayed
21226,Delayed
1452,On time
53590,Delayed
85297,Delayed
75025,Delayed
11738,Delayed
92679,Delayed
82201,Delayed
92011,Delayed
53130,On time
43812,On time
30179,On time
92111,Delayed
79410,On time
97415,Delayed
34668,Delayed
7737,On time
28209,Delayed
67410,On time
97221,Delayed
44280,On time
87004,On time
15425,Delayed
56347,Delayed
78704,Delayed
11581,Delayed
14103,On time
85937,On time
77627,Delayed
8215,On time
64070,On time
15005,On time
50309,Delayed
2673,Delayed
93021,Delayed
72007,On time
11709,On time
10457,On time
14004,On time
92624,Delayed
7410,Delayed
18302,Delayed
92058,Delayed
90045,Delayed
95993,Delayed
36360,On time
78415,On time
98942,Delayed
49071,On time
60302,Delayed
7045,Delayed
60515,Delayed
3452,On time
55444,Delayed
14445,On time
61523,On time
64506,On time
32713,Delayed
32835,Delayed
28374,Delayed
8083,On time
34108,Delayed
76904,Delayed
20706,Delayed
46391,On time
1588,On time
46530,Delayed
73772,Delayed
28449,On time
43912,On time
53186,Delayed
71753,Delayed
51360,On time
18702,Delayed
12198,Delayed
95334,On time
44119,On time
1902,Delayed
23605,On time
3766,Delayed
44120,On time
76071,On time
27889,Delayed
60450,Delayed
8028,Delayed
21208,Delayed
34275,Delayed
60639,Delayed
47710,On time
91978,Delayed
66112,On time
55972,On time
33584,On time
6333,On time
33170,On time
2474,Delayed
45409,On time
46550,Delayed
36576,Delayed
90731,Delayed
59718,Delayed
8840,Delayed
72113,Delayed
30568,Delayed
54024,On time
21673,On time
7826,On time
84664,Delayed
42127,Delayed
19046,On time
11747,Delayed
54868,On time
8562,On time
48035,Delayed
29842,On time
98466,Delayed
18229,On time
28307,Delayed
22551,Delayed
44023,Delayed
99021,On time
28352,On time
1730,Delayed
3034,On time
54636,On time
47720,Delayed
67846,Delayed
2134,Delayed
3077,Delayed
28387,Delayed
31036,On time
30135,Delayed
10035,Delayed
59875,On time
60042,Delayed
89141,Delayed
76513,Delayed
14414,On time
11204,Delayed
28117,Delayed
90808,Delayed
93111,Delayed
93033,Delayed
69341,On time
48035,Delayed
95630,Delayed
8827,On time
35806,Delayed
33920,On time
7310,Delayed
90602,On time
7823,On time
99354,Delayed
35570,On time
21797,Delayed
30815,Delayed
1504,Delayed
92113,On time
92532,Delayed
25419,Delayed
40245,Delayed
50536,Delayed
74017,On time
92411,On time
46327,On time
53525,On time
92109,Delayed
76009,Delayed
7826,Delayed
44710,On time
15224,Delayed
92780,Delayed
60050,On time
46511,Delayed
77461,On time
48165,On time
97210,Delayed
29643,On time
90723,On time
34947,On time
6810,Delayed
33478,Delayed
39202,Delayed
92637,Delayed
34639,Delayed
33823,On time
46342,Delayed
25309,On time
77007,Delayed
17406,Delayed
10516,On time
33776,On time
13219,Delayed
98405,On time
10522,On time
73069,Delayed
89141,Delayed
85737,Delayed
6710,On time
32112,On time
78231,On time
6105,On time
80123,Delayed
28097,On time
64118,Delayed
19604,On time
22191,Delayed
60409,Delayed
94117,Delayed
21769,Delayed
17702,On time
6089,On time
31513,On time
81212,On time
32217,On time
21036,On time
75156,Delayed
19087,Delayed
48009,Delayed
75252,Delayed
1602,On time
6901,Delayed
68601,Delayed
24175,On time
53560,On time
33026,On time
22191,Delayed
37876,Delayed
95688,Delayed
21629,On time
10281,Delayed
33931,Delayed
60712,On time
63026,Delayed
80023,On time
43207,Delayed
6090,On time
49315,On time
33594,Delayed
35824,Delayed
93644,Delayed
32603,On time
7748,Delayed
30344,Delayed
58203,Delayed
59254,On time
63334,On time
66040,On time
44132,On time
33147,Delayed
70422,On time
65536,Delayed
34772,Delayed
19149,Delayed
93311,Delayed
2575,On time
36535,Delayed
74011,Delayed
78336,On time
37402,On time
15022,On time
98366,Delayed
33702,Delayed
60083,On time
92868,Delayed
24244,On time
90291,Delayed
32117,Delayed
33036,Delayed
16354,On time
33161,Delayed
91711,Delayed
90064,Delayed
27560,Delayed
77521,Delayed
97215,Delayed
61068,On time
94521,Delayed
78733,Delayed
75024,Delayed
92806,Delayed
13350,On time
46556,Delayed
80465,Delayed
14608,On time
53214,Delayed
79226,On time
21851,On time
77484,On time
55428,On time
8901,Delayed
49544,On time
7422,On time
48169,Delayed
8820,Delayed
85037,Delayed
24175,On time
75652,On time
15963,On time
93643,On time
38125,Delayed
12571,On time
30331,Delayed
80110,Delayed
30008,On time
49270,On time
83404,Delayed
70555,On time
18702,Delayed
27617,Delayed
31602,Delayed
33618,On time
25313,On time
63102,On time
85704,Delayed
85379,Delayed
80222,On time
2492,Delayed
92620,Delayed
70458,Delayed
2881,On time
85262,Delayed
49076,On time
24153,Delayed
36107,On time
91006,Delayed
20707,Delayed
49203,Delayed
32444,Delayed
92879,Delayed
30265,Delayed
21001,Delayed
45342,Delayed
95819,Delayed
22015,Delayed
60083,On time
62812,On time
53703,Delayed
28301,On time
17540,On time
98841,On time
48042,Delayed
33437,Delayed
37701,On time
98332,Delayed
14067,On time
24422,On time
84401,On time
11364,Delayed
95003,Delayed
14611,Delayed
49519,Delayed
38671,Delayed
48045,Delayed
32502,Delayed
68132,On time
53220,Delayed
92782,Delayed
75225,Delayed
92649,Delayed
85282,Delayed
63361,On time
48611,On time
55719,On time
46517,Delayed
77091,Delayed
29456,Delayed
31905,Delayed
98816,Delayed
1863,On time
39525,On time
68005,On time
48049,On time
97031,On time
80215,Delayed
75134,On time
75211,Delayed
20882,Delayed
25443,On time
35907,On time
49420,On time
14432,On time
3773,On time
12183,On time
33406,Delayed
40514,Delayed
85201,Delayed
3034,On time
30564,On time
7901,Delayed
43240,On time
61704,Delayed
92835,On time
32784,On time
15213,Delayed
94513,Delayed
37692,Delayed
93463,Delayed
20744,Delayed
47842,On time
23226,Delayed
93505,On time
7079,Delayed
33311,Delayed
59401,On time
92707,Delayed
62712,Delayed
1522,Delayed
22655,On time
76643,Delayed
20912,Delayed
67206,On time
43228,Delayed
21031,On time
62561,Delayed
4743,On time
29486,Delayed
10303,On time
33404,Delayed
12305,On time
2330,Delayed
49009,Delayed
60506,Delayed
44875,On time
46319,Delayed
37686,On time
60804,On time
44118,Delayed
28227,Delayed
47448,On time
48191,On time
1540,Delayed
63131,Delayed
49267,On time
41230,On time
98682,Delayed
75114,On time
76437,On time
92408,On time
27569,On time
19131,Delayed
6704,On time
72616,On time
60452,Delayed
72916,On time
75409,Delayed
95379,On time
14226,Delayed
79336,Delayed
72022,Delayed
46011,Delayed
48350,On time
33484,Delayed
7014,Delayed
95050,Delayed
85042,Delayed
12883,Delayed
12834,On time
91367,Delayed
16652,Delayed
27106,Delayed
92274,On time
72065,On time
97123,Delayed
67054,On time
33316,Delayed
33446,Delayed
46072,On time
92021,Delayed
7753,Delayed
30276,Delayed
30606,Delayed
97487,On time
18013,Delayed
53140,Delayed
87532,Delayed
57108,Delayed
92861,On time
43203,On time
18049,Delayed
70114,On time
24416,On time
31404,Delayed
34472,On time
53040,On time
49401,Delayed
68142,On time
85749,Delayed
14036,On time
6468,Delayed
97463,On time
94597,Delayed
6513,Delayed
70791,Delayed
60707,Delayed
27371,On time
91024,Delayed
30035,On time
92603,Delayed
10974,On time
48836,Delayed
91740,Delayed
37115,Delayed
85131,On time
56701,Delayed
6071,Delayed
33076,Delayed
74804,On time
31513,On time
91702,Delayed
94601,Delayed
2114,Delayed
91722,Delayed
32503,Delayed
47032,On time
49330,On time
80127,Delayed
23185,Delayed
16056,On time
21158,Delayed
48429,Delayed
13865,On time
75237,On time
30577,On time
95757,Delayed
48042,On time
45212,On time
75223,On time
45318,On time
71463,On time
21047,Delayed
6269,On time
22827,Delayed
62025,Delayed
33974,On time
29605,Delayed
29440,Delayed
51246,On time
22180,Delayed
97024,On time
10002,Delayed
76016,Delayed
12514,On time
7029,Delayed
33904,Delayed
35476,Delayed
76273,On time
79423,On time
46224,Delayed
12986,On time
70002,Delayed
90265,Delayed
61102,Delayed
84124,Delayed
60136,On time
50211,Delayed
34695,Delayed
32784,On time
61832,On time
17236,On time
7628,Delayed
71342,Delayed
37083,On time
33759,Delayed
27545,Delayed
49461,On time
60558,Delayed
2459,Delayed
28202,Delayed
76182,Delayed
37030,On time
7731,Delayed
7731,Delayed
26554,Delayed
19933,On time
37037,On time
95661,Delayed
7104,Delayed
8043,Delayed
7058,On time
38201,On time
93543,On time
19053,Delayed
32340,On time
95037,Delayed
95470,On time
97023,Delayed
12134,On time
50311,Delayed
24486,On time
45154,On time
7601,Delayed
32807,Delayed
2116,Delayed
27549,Delayed
78227,Delayed
53126,On time
11741,Delayed
76132,Delayed
76016,Delayed
44262,On time
77433,Delayed
35504,Delayed
33408,Delayed
33612,Delayed
73703,Delayed
19963,On time
28742,Delayed
72022,On time
7921,On time
64111,On time
48883,On time
94621,On time
60447,Delayed
2346,Delayed
57006,Delayed
48041,On time
21207,Delayed
96007,Delayed
37083,On time
93602,On time
21040,Delayed
24210,On time
59105,Delayed
3257,On time
84655,On time
74730,On time
37146,On time
55344,Delayed
21901,Delayed
85225,Delayed
78218,Delayed
35126,On time
22727,Delayed
50423,Delayed
31602,Delayed
55605,On time
74011,On time
20064,On time
61021,On time
8535,On time
7836,On time
44601,On time
97322,Delayed
21013,On time
92501,Delayed
77905,On time
55330,Delayed
29449,On time
87112,Delayed
2468,On time
68164,Delayed
29223,Delayed
51503,Delayed
7950,Delayed
97023,Delayed
66067,On time
19124,Delayed
7642,Delayed
94115,Delayed
68818,On time
76040,Delayed
1520,Delayed
60010,Delayed
98382,Delayed
95245,On time
7677,Delayed
27837,On time
29225,Delayed
52776,On time
90701,On time
80521,Delayed
60030,Delayed
19073,Delayed
98236,Delayed
75840,On time
28303,Delayed
57078,Delayed
8312,Delayed
48706,Delayed
74137,Delayed
77498,Delayed
80602,Delayed
53126,On time
7082,On time
85377,Delayed
55415,Delayed
14467,On time
64156,Delayed
57049,On time
85353,Delayed
30120,Delayed
46237,Delayed
55077,Delayed
18013,Delayed
59102,Delayed
87740,Delayed
61616,On time
27801,On time
92655,On time
49024,On time
10598,Delayed
27858,Delayed
97479,On time
78542,Delayed
61036,On time
60515,Delayed
20777,On time
42066,On time
78728,Delayed
19602,On time
68524,Delayed
85716,Delayed
54304,Delayed
50312,On time
11542,Delayed
7849,On time
90068,Delayed
98112,Delayed
11238,Delayed
85937,On time
33801,On time
77085,On time
60510,Delayed
70121,Delayed
98024,Delayed
53219,Delayed
15089,On time
29036,Delayed
2184,Delayed
39482,On time
34223,On time
2879,Delayed
90807,Delayed
35244,On time
30512,On time
8322,Delayed
44012,Delayed
82070,Delayed
22546,Delayed
98922,Delayed
44001,Delayed
73119,On time
73507,On time
61764,On time
12839,On time
12571,On time
89131,Delayed
85234,Delayed
4064,On time
13069,Delayed
72058,On time
60654,Delayed
80920,Delayed
78418,Delayed
44231,On time
23120,Delayed
74021,On time
27701,Delayed
3079,Delayed
73107,Delayed
45232,On time
13108,On time
72007,On time
53034,On time
48323,On time
95988,On time
30121,Delayed
62656,On time
1518,On time
21204,Delayed
53120,On time
29115,On time
48304,Delayed
19363,Delayed
7728,Delayed
8724,Delayed
33186,Delayed
37315,On time
29906,Delayed
27601,Delayed
23185,Delayed
32424,On time
68132,On time
78160,On time
85256,On time
1257,Delayed
44202,Delayed
8535,On time
90701,On time
33711,On time
16051,Delayed
29681,Delayed
36572,On time
62231,On time
39090,Delayed
81082,Delayed
7204,On time
28305,On time
30281,Delayed
27932,On time
95135,Delayed
88001,Delayed
98104,Delayed
27104,Delayed
6883,Delayed
20659,Delayed
80138,Delayed
22308,Delayed
38109,On time
20012,Delayed
36250,On time
2108,On time
80305,Delayed
33040,Delayed
37029,On time
38485,On time
62233,On time
22911,Delayed
25570,On time
44805,Delayed
53188,Delayed
39216,On time
32011,On time
60402,Delayed
85210,On time
49269,Delayed
36605,On time
76179,Delayed
93433,On time
73165,On time
38583,Delayed
11740,Delayed
21220,Delayed
80634,Delayed
78759,Delayed
27262,Delayed
90293,Delayed
59759,On time
77044,Delayed
11790,Delayed
55428,Delayed
7732,On time
38343,On time
53593,Delayed
48661,Delayed
54915,Delayed
2180,Delayed
21776,Delayed
18229,On time
78610,Delayed
32714,Delayed
38401,Delayed
45302,On time
13357,On time
91978,On time
95619,On time
2210,Delayed
43025,On time
30187,On time
25405,Delayed
43334,On time
35739,Delayed
83704,Delayed
32626,On time
30458,Delayed
79855,Delayed
92590,Delayed
37143,Delayed
44425,On time
70053,Delayed
18942,On time
10040,Delayed
89511,Delayed
77071,Delayed
8037,Delayed
13126,Delayed
55410,Delayed
1773,Delayed
98674,On time
80903,Delayed
28768,On time
4473,Delayed
65605,Delayed
55040,On time
67147,On time
95391,On time
97426,On time
76248,Delayed
48035,Delayed
28120,Delayed
85716,Delayed
11417,Delayed
54151,Delayed
11001,Delayed
20853,Delayed
78061,On time
19335,Delayed
37777,On time
77093,Delayed
19143,Delayed
22180,Delayed
20176,Delayed
36092,Delayed
30307,Delayed
70131,On time
44278,Delayed
11692,Delayed
55123,Delayed
45237,Delayed
1440,On time
33703,Delayed
52748,On time
13116,On time
20636,Delayed
48189,On time
29223,Delayed
45226,Delayed
43452,On time
57028,On time
76487,On time
63101,Delayed
22844,On time
90003,Delayed
91767,Delayed
22042,Delayed
35816,On time
27560,Delayed
6268,On time
78610,Delayed
90027,Delayed
46236,Delayed
33328,Delayed
6117,Delayed
53072,Delayed
3766,Delayed
35741,Delayed
94116,Delayed
34285,Delayed
48382,Delayed
77554,Delayed
3446,On time
59701,Delayed
27944,On time
62864,Delayed
3894,On time
61540,On time
1776,Delayed
44119,Delayed
34228,Delayed
90095,Delayed
26164,On time
53525,On time
30566,On time
95338,Delayed
89451,Delayed
1337,On time
2642,On time
37046,On time
24954,Delayed
35741,On time
91740,Delayed
27889,Delayed
14214,On time
37067,Delayed
53104,Delayed
44310,Delayed
55421,Delayed
33773,Delayed
52403,Delayed
28117,Delayed
23230,Delayed
72908,On time
2724,On time
99216,Delayed
33020,Delayed
95633,On time
74119,On time
2135,Delayed
83713,Delayed
90601,Delayed
57013,Delayed
44870,Delayed
1609,On time
52033,Delayed
33016,Delayed
40383,On time
63116,Delayed
71603,On time
28092,Delayed
21093,Delayed
32643,On time
53080,On time
37083,On time
70115,Delayed
95838,Delayed
60565,Delayed
29696,On time
95407,Delayed
84103,Delayed
64836,Delayed
56621,Delayed
64118,Delayed
14617,On time
25951,Delayed
45344,On time
79106,On time
8690,On time
25403,On time
92373,Delayed
77041,Delayed
11203,Delayed
73080,On time
95948,On time
16150,On time
92091,On time
78728,Delayed
22840,On time
52233,On time
28327,Delayed
45769,Delayed
70563,Delayed
30044,Delayed
70503,Delayed
73064,Delayed
32024,On time
62286,On time
49643,Delayed
46748,On time
68142,On time
62966,On time
33016,Delayed
92882,Delayed
30114,Delayed
37716,Delayed
11417,Delayed
20853,Delayed
77536,Delayed
91030,Delayed
54487,Delayed
63385,Delayed
55812,Delayed
8030,Delayed
92120,Delayed
22974,On time
37748,On time
21239,Delayed
81625,Delayed
13309,On time
38485,On time
54241,On time
92301,Delayed
85301,Delayed
11421,Delayed
87114,Delayed
53954,On time
48176,Delayed
14569,On time
33543,Delayed
32547,Delayed
21237,Delayed
95614,On time
61550,On time
48168,Delayed
97210,Delayed
75442,On time
32937,Delayed
36265,On time
33853,On time
91722,Delayed
40223,Delayed
60014,Delayed
22193,Delayed
30721,Delayed
10005,Delayed
79102,On time
11237,Delayed
7719,Delayed
33322,Delayed
65251,On time
78574,On time
3281,Delayed
20736,Delayed
4963,Delayed
78148,On time
95258,On time
31405,Delayed
97362,On time
70053,On time
70119,Delayed
30093,Delayed
72758,Delayed
98683,Delayed
27012,Delayed
43551,Delayed
11949,Delayed
6706,On time
55806,Delayed
7676,On time
32962,Delayed
43968,On time
32117,Delayed
11968,On time
45233,Delayed
7111,On time
37405,Delayed
44321,On time
47725,Delayed
95991,Delayed
35173,On time
71328,Delayed
83642,Delayed
54548,Delayed
80905,Delayed
18330,Delayed
26170,On time
32778,Delayed
45216,On time
11416,Delayed
32097,Delayed
60404,On time
80836,On time
30337,On time
45243,Delayed
34291,On time
91042,Delayed
30344,Delayed
18840,On time
40504,On time
26201,On time
92683,Delayed
93012,Delayed
98294,Delayed
2062,Delayed
2053,Delayed
2493,Delayed
6791,On time
31535,On time
11722,Delayed
80916,Delayed
36054,On time
63957,On time
54451,Delayed
20724,On time
94304,On time
93437,Delayed
29204,Delayed
23228,Delayed
53168,On time
60422,On time
75961,Delayed
43017,Delayed
20111,Delayed
98270,Delayed
18069,On time
98112,Delayed
12203,Delayed
83628,On time
45660,On time
75126,Delayed
19350,On time
80207,Delayed
61008,Delayed
61611,Delayed
6608,On time
44851,Delayed
98225,Delayed
94108,Delayed
90031,Delayed
25832,On time
97233,Delayed
81625,Delayed
56007,Delayed
46260,Delayed
85602,On time
71730,On time
48463,On time
21157,Delayed
11554,Delayed
43017,Delayed
16117,On time
14626,Delayed
27317,On time
23704,On time
